Monument Type,Color,Single or Double,length,width,height,price
Bevel,Georgia Gray,Single,12,6,0,175
Bevel,Georgia Gray,Single,16,8,0,250
Bevel,Georgia Gray,Single,20,10,0,300
Bevel,Georgia Gray,Single,24,12,0,350
Bevel,Georgia Gray,Single,30,12,0,400
Bevel,Georgia Gray,Double,36,14,0,550
Bevel,Georgia Gray,Double,42,14,0,600
Bevel,Georgia Gray,Double,48,14,0,650
Bevel,Morning Rose,Single,24,12,0,600
Bevel,Morning Rose,Single,30,12,0,750
Bevel,Morning Rose,Double,36,14,0,825
Bevel,Morning Rose,Double,42,14,0,875
Bevel,Morning Rose,Double,48,14,0,950
Bevel,Salisbury Pink,Single,24,12,0,600
Bevel,Salisbury Pink,Single,30,12,0,750
Bevel,Salisbury Pink,Double,36,14,0,825
Bevel,Salisbury Pink,Double,42,14,0,875
Bevel,Salisbury Pink,Double,48,14,0,950
Bevel,Autumn Rose,Single,24,12,0,525
Bevel,Autumn Rose,Single,30,12,0,700
Bevel,Autumn Rose,Double,36,14,0,750
Bevel,Autumn Rose,Double,42,14,0,800
Bevel,Autumn Rose,Double,48,14,0,875
Bevel,Flash Black,Single,20,10,0,550
Bevel,Flash Black,Single,24,12,0,675
Bevel,Flash Black,Single,30,12,0,825
Bevel,Flash Black,Double,36,14,0,900
Bevel,Flash Black,Double,42,14,0,975
Bevel,Flash Black,Double,48,14,0,1050
Bevel,Jet Black,Single,24,12,0,875
Bevel,Jet Black,Single,30,12,0,1150
Bevel,Jet Black,Double,36,14,0,1250
Bevel,Jet Black,Double,42,14,0,1325
Bevel,Jet Black,Double,48,14,0,1425
Bevel,American Black,Single,24,12,0,600
Bevel,American Black,Single,30,12,0,750
Bevel,American Black,Double,36,14,0,825
Bevel,American Black,Double,42,14,0,875
Bevel,American Black,Double,48,14,0,950
Bevel,Blue Silk,Single,24,12,0,825
Bevel,Blue Silk,Single,30,12,0,1100
Bevel,Blue Silk,Double,36,14,0,1200
Bevel,Blue Silk,Double,42,14,0,1275
Bevel,Blue Silk,Double,48,14,0,1350
Bevel,Missouri Red,Single,24,12,0,825
Bevel,Missouri Red,Single,30,12,0,1100
Bevel,Missouri Red,Double,36,14,0,1200
Bevel,Missouri Red,Double,42,14,0,1275
Bevel,Missouri Red,Double,48,14,0,1350
Bevel,Sienna Red,Single,24,12,0,775
Bevel,Sienna Red,Single,30,12,0,1025
Bevel,Sienna Red,Double,36,14,0,1125
Bevel,Sienna Red,Double,42,14,0,1175
Bevel,Sienna Red,Double,48,14,0,1250
Bevel,Dakota Mahogany,Single,24,12,0,825
Bevel,Dakota Mahogany,Single,30,12,0,1100
Bevel,Dakota Mahogany,Double,36,14,0,1200
Bevel,Dakota Mahogany,Double,42,14,0,1275
Bevel,Dakota Mahogany,Double,48,14,0,1350
Bevel,Canadian Mahogany,Single,24,12,0,650
Bevel,Canadian Mahogany,Single,30,12,0,850
Bevel,Canadian Mahogany,Double,36,14,0,925
Bevel,Canadian Mahogany,Double,42,14,0,975
Bevel,Canadian Mahogany,Double,48,14,0,1050
Bevel,Barre,Single,24,12,0,750
Bevel,Barre,Single,30,12,0,1000
Bevel,Barre,Double,36,14,0,1075
Bevel,Barre,Double,42,14,0,1150
Bevel,Barre,Double,48,14,0,1225
Bevel,India Mist,Single,24,12,0,775
Bevel,India Mist,Single,30,12,0,1025
Bevel,India Mist,Double,36,14,0,1125
Bevel,India Mist,Double,42,14,0,1175
Bevel,India Mist,Double,48,14,0,1250
Bevel,India Red,Single,24,12,0,1100
Bevel,India Red,Single,30,12,0,1425
Bevel,India Red,Double,36,14,0,1550
Bevel,India Red,Double,42,14,0,1625
Bevel,India Red,Double,48,14,0,1725
Bevel,Night Star,Single,24,12,0,725
Bevel,Night Star,Single,30,12,0,975
Bevel,Night Star,Double,36,14,0,1050
Bevel,Night Star,Double,42,14,0,1125
Bevel,Night Star,Double,48,14,0,1250
Flat,Georgia Gray,Single,10,5,0,100
Flat,Georgia Gray,Single,12,6,0,150
Flat,Georgia Gray,Single,16,8,0,225
Flat,Georgia Gray,Single,20,10,0,275
Flat,Georgia Gray,Single,24,12,4,325
Flat,Georgia Gray,Single,30,12,4,375
Flat,Georgia Gray,Double,36,14,4,495
Flat,Georgia Gray,Double,42,14,4,550
Flat,Georgia Gray,Double,48,14,4,600
Flat,Morning Rose,Single,24,12,4,500
Flat,Morning Rose,Single,30,12,4,625
Flat,Morning Rose,Double,36,14,4,725
Flat,Morning Rose,Double,42,14,4,850
Flat,Morning Rose,Double,48,14,4,975
Flat,Salisbury Pink,Single,24,12,4,500
Flat,Salisbury Pink,Single,30,12,4,625
Flat,Salisbury Pink,Double,36,14,4,725
Flat,Salisbury Pink,Double,42,14,4,850
Flat,Salisbury Pink,Double,48,14,4,975
Flat,Autumn Rose,Single,24,12,4,450
Flat,Autumn Rose,Single,30,12,4,575
Flat,Autumn Rose,Double,36,14,4,675
Flat,Autumn Rose,Double,42,14,4,775
Flat,Autumn Rose,Double,48,14,4,875
Flat,Flash Black,Single,24,12,4,575
Flat,Flash Black,Single,30,12,4,700
Flat,Flash Black,Double,36,14,4,800
Flat,Flash Black,Double,42,14,4,925
Flat,Flash Black,Double,48,14,4,1025
Flat,Jet Black,Single,24,12,4,775
Flat,Jet Black,Single,30,12,4,975
Flat,Jet Black,Double,36,14,4,1075
Flat,Jet Black,Double,42,14,4,1225
Flat,Jet Black,Double,48,14,4,1375
Flat,American Black,Single,24,12,4,500
Flat,American Black,Single,30,12,4,625
Flat,American Black,Double,36,14,4,725
Flat,American Black,Double,42,14,4,850
Flat,American Black,Double,48,14,4,975
Flat,Blue Silk,Single,24,12,4,700
Flat,Blue Silk,Single,30,12,4,875
Flat,Blue Silk,Double,36,14,4,1025
Flat,Blue Silk,Double,42,14,4,1175
Flat,Blue Silk,Double,48,14,4,1225
Flat,Missouri Red,Single,24,12,4,700
Flat,Missouri Red,Single,30,12,4,875
Flat,Missouri Red,Double,36,14,4,1025
Flat,Missouri Red,Double,42,14,4,1175
Flat,Missouri Red,Double,48,14,4,1225
Flat,Sienna Red,Single,24,12,4,650
Flat,Sienna Red,Single,30,12,4,815
Flat,Sienna Red,Double,36,14,4,950
Flat,Sienna Red,Double,42,14,4,1095
Flat,Sienna Red,Double,48,14,4,1175
Flat,Dakota Mahogany,Single,24,12,4,700
Flat,Dakota Mahogany,Single,30,12,4,875
Flat,Dakota Mahogany,Double,36,14,4,1025
Flat,Dakota Mahogany,Double,42,14,4,1175
Flat,Dakota Mahogany,Double,48,14,4,1225
Flat,Canadian Mahogany,Single,24,12,4,550
Flat,Canadian Mahogany,Single,30,12,4,675
Flat,Canadian Mahogany,Double,36,14,4,775
Flat,Canadian Mahogany,Double,42,14,4,900
Flat,Canadian Mahogany,Double,48,14,4,1025
Flat,Barre,Single,24,12,4,625
Flat,Barre,Single,30,12,4,795
Flat,Barre,Double,36,14,4,925
Flat,Barre,Double,42,14,4,1050
Flat,Barre,Double,48,14,4,1175
Flat,India Mist,Single,24,12,4,650
Flat,India Mist,Single,30,12,4,815
Flat,India Mist,Double,36,14,4,950
Flat,India Mist,Double,42,14,4,1095
Flat,India Mist,Double,48,14,4,1175
Flat,India Red,Single,24,12,4,925
Flat,India Red,Single,30,12,4,1215
Flat,India Red,Double,36,14,4,1325
Flat,India Red,Double,42,14,4,1450
Flat,India Red,Double,48,14,4,1625
Flat,Night Star,Single,24,12,4,600
Flat,Night Star,Single,30,12,4,775
Flat,Night Star,Double,36,14,4,900
Flat,Night Star,Double,42,14,4,1000
Flat,Night Star,Double,48,14,4,1100
Flat,Carnelian,Single,24,12,4,600
Slant,Georgia Gray,Single,20,10,16,400
Slant,Georgia Gray,Single,24,10,16,500
Slant,Georgia Gray,Single,30,10,16,525
Slant,Georgia Gray,Double,36,10,16,700
Slant,Georgia Gray,Double,42,10,16,725
Slant,Georgia Gray,Double,48,10,16,800
Slant,Morning Rose,Single,20,10,16,800
Slant,Morning Rose,Single,24,10,16,900
Slant,Morning Rose,Single,30,10,16,1000
Slant,Morning Rose,Double,36,10,16,1175
Slant,Morning Rose,Double,42,10,16,1325
Slant,Morning Rose,Double,48,10,16,1500
Slant,Salisbury Pink,Single,20,10,16,800
Slant,Salisbury Pink,Single,24,10,16,900
Slant,Salisbury Pink,Single,30,10,16,1000
Slant,Salisbury Pink,Double,36,10,16,1175
Slant,Salisbury Pink,Double,42,10,16,1325
Slant,Salisbury Pink,Double,48,10,16,1500
Slant,Autumn Rose,Single,20,10,16,725
Slant,Autumn Rose,Single,24,10,16,825
Slant,Autumn Rose,Single,30,10,16,925
Slant,Autumn Rose,Double,36,10,16,1050
Slant,Autumn Rose,Double,42,10,16,1200
Slant,Autumn Rose,Double,48,10,16,1300
Slant,Flash Black,Single,20,10,16,850
Slant,Flash Black,Single,24,10,16,975
Slant,Flash Black,Single,30,10,16,1095
Slant,Flash Black,Double,36,10,16,1275
Slant,Flash Black,Double,42,10,16,1450
Slant,Flash Black,Double,48,10,16,1625
Slant,Jet Black,Single,20,10,16,1100
Slant,Jet Black,Single,24,10,16,1275
Slant,Jet Black,Single,30,10,16,1410
Slant,Jet Black,Double,36,10,16,1650
Slant,Jet Black,Double,42,10,16,1750
Slant,Jet Black,Double,48,10,16,1850
Slant,American Black,Single,20,10,16,800
Slant,American Black,Single,24,10,16,900
Slant,American Black,Single,30,10,16,1000
Slant,American Black,Double,36,10,16,1175
Slant,American Black,Double,42,10,16,1325
Slant,American Black,Double,48,10,16,1500
Slant,Blue Silk,Single,20,10,16,975
Slant,Blue Silk,Single,24,10,16,1125
Slant,Blue Silk,Single,30,10,16,1250
Slant,Blue Silk,Double,36,10,16,1450
Slant,Blue Silk,Double,42,10,16,1675
Slant,Blue Silk,Double,48,10,16,1800
Slant,Missouri Red,Single,20,10,16,975
Slant,Missouri Red,Single,24,10,16,1125
Slant,Missouri Red,Single,30,10,16,1250
Slant,Missouri Red,Double,36,10,16,1450
Slant,Missouri Red,Double,42,10,16,1675
Slant,Missouri Red,Double,48,10,16,1800
Slant,Sienna Red,Single,20,10,16,915
Slant,Sienna Red,Single,24,10,16,1050
Slant,Sienna Red,Single,30,10,16,1175
Slant,Sienna Red,Double,36,10,16,1375
Slant,Sienna Red,Double,42,10,16,1550
Slant,Sienna Red,Double,48,10,16,1750
Slant,Dakota Mahogany,Single,20,10,16,975
Slant,Dakota Mahogany,Single,24,10,16,1125
Slant,Dakota Mahogany,Single,30,10,16,1250
Slant,Dakota Mahogany,Double,36,10,16,1450
Slant,Dakota Mahogany,Double,42,10,16,1675
Slant,Dakota Mahogany,Double,48,10,16,1800
Slant,Canadian Mahogany,Single,20,10,16,750
Slant,Canadian Mahogany,Single,24,10,16,875
Slant,Canadian Mahogany,Single,30,10,16,975
Slant,Canadian Mahogany,Double,36,10,16,1115
Slant,Canadian Mahogany,Double,42,10,16,1275
Slant,Canadian Mahogany,Double,48,10,16,1375
Slant,Barre,Single,20,10,16,875
Slant,Barre,Single,24,10,16,1015
Slant,Barre,Single,30,10,16,1125
Slant,Barre,Double,36,10,16,1325
Slant,Barre,Double,42,10,16,1500
Slant,Barre,Double,48,10,16,1675
Slant,India Mist,Single,20,10,16,915
Slant,India Mist,Single,24,10,16,1050
Slant,India Mist,Single,30,10,16,1175
Slant,India Mist,Double,36,10,16,1375
Slant,India Mist,Double,42,10,16,1550
Slant,India Mist,Double,48,10,16,1750
Slant,India Red,Single,20,10,16,1300
Slant,India Red,Single,24,10,16,1575
Slant,India Red,Single,30,10,16,1750
Slant,India Red,Double,36,10,16,1900
Slant,India Red,Double,42,10,16,2150
Slant,India Red,Double,48,10,16,2450
Slant,Night Star,Single,20,10,16,850
Slant,Night Star,Single,24,10,16,975
Slant,Night Star,Single,30,10,16,1100
Slant,Night Star,Double,36,10,16,1300
Slant,Night Star,Double,42,10,16,1475
Slant,Night Star,Double,48,10,16,1650
